id,date,6h,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge,total-events,unique-locations,active-location-ratio,private-to-public-ratio,location-entropy,location-dominance-ratio,back-and-forth-count,num-transitions
0cda9,2019-05-04,12-18,0,3,6,16,6,20,19,25,95,7,0.88,0.14,2.54,0.26,12,68
0cda9,2019-05-04,18-24,6,5,7,16,8,31,25,26,124,8,1.0,0.15,2.71,0.25,10,91
0cda9,2019-05-05,00-06,0,1,11,16,0,12,9,6,55,6,0.75,0.44,2.34,0.29,3,34
0cda9,2019-05-05,06-12,4,13,9,24,7,31,20,38,146,8,1.0,0.25,2.71,0.26,11,96
0cda9,2019-05-05,12-18,2,5,0,36,6,27,22,30,128,7,0.88,0.06,2.4,0.28,11,83
0cda9,2019-05-05,18-24,2,7,7,10,0,15,10,19,70,7,0.88,0.32,2.6,0.27,6,47
0cda9,2019-05-06,00-06,0,0,7,14,0,12,10,10,53,5,0.62,0.22,2.29,0.26,3,33
0cda9,2019-05-06,06-12,4,12,6,28,12,36,26,41,165,8,1.0,0.17,2.69,0.25,12,122
0cda9,2019-05-06,12-18,0,2,0,2,6,17,12,16,55,6,0.75,0.04,2.22,0.31,9,47
0cda9,2019-05-06,18-24,6,6,6,18,0,25,23,23,107,7,0.88,0.17,2.58,0.23,11,70
0cda9,2019-05-07,00-06,0,0,11,12,0,9,7,4,43,5,0.62,0.55,2.23,0.28,1,26
0cda9,2019-05-07,06-12,2,24,10,28,8,48,29,31,180,8,1.0,0.31,2.68,0.27,15,125
0cda9,2019-05-07,12-18,6,8,4,16,14,43,28,50,169,8,1.0,0.1,2.58,0.3,13,120
0cda9,2019-05-07,18-24,2,12,5,30,8,41,22,38,158,8,1.0,0.17,2.59,0.26,16,107
0cda9,2019-05-08,00-06,0,5,9,18,4,19,17,4,76,7,0.88,0.35,2.55,0.25,12,50
0cda9,2019-05-08,06-12,4,15,11,12,12,41,25,33,153,8,1.0,0.26,2.73,0.27,19,113
0cda9,2019-05-08,12-18,2,5,0,18,8,32,24,29,118,7,0.88,0.06,2.45,0.27,17,83
0cda9,2019-05-08,18-24,2,11,6,2,2,14,10,11,58,8,1.0,0.49,2.68,0.24,4,46
0cda9,2019-05-09,00-06,0,2,7,16,0,15,11,13,64,6,0.75,0.23,2.4,0.25,5,42
0cda9,2019-05-09,06-12,8,25,47,40,10,42,26,51,249,8,1.0,0.61,2.8,0.2,31,162
0cda9,2019-05-09,12-18,4,10,0,16,3,27,18,34,112,7,0.88,0.13,2.46,0.3,16,79
0cda9,2019-05-09,18-24,2,8,9,10,2,27,14,29,101,8,1.0,0.24,2.58,0.29,13,68
0cda9,2019-05-10,00-06,0,6,7,2,0,6,4,4,29,6,0.75,0.93,2.49,0.24,1,17
0cda9,2019-05-10,06-12,12,26,15,24,18,47,28,31,201,8,1.0,0.39,2.88,0.23,23,150
0cda9,2019-05-10,12-18,2,3,0,13,7,28,22,23,98,7,0.88,0.04,2.42,0.29,7,64
0cda9,2019-05-10,18-24,2,3,7,12,2,19,18,22,85,8,1.0,0.17,2.58,0.26,3,55
0cda9,2019-05-11,00-06,0,0,17,6,0,6,5,1,35,5,0.62,1.42,1.93,0.49,0,17
0cda9,2019-05-11,06-12,2,22,11,22,11,31,21,28,148,8,1.0,0.41,2.79,0.21,12,108
0cda9,2019-05-11,12-18,2,3,1,26,5,31,26,28,122,8,1.0,0.05,2.41,0.25,12,84
0cda9,2019-05-11,18-24,2,6,4,0,0,8,4,11,35,6,0.75,0.43,2.4,0.31,4,26
0cda9,2019-05-12,00-06,0,1,12,18,0,16,17,4,68,6,0.75,0.35,2.27,0.26,4,45
0cda9,2019-05-12,06-12,2,17,7,24,2,27,14,23,116,8,1.0,0.38,2.64,0.23,9,74
0cda9,2019-05-12,12-18,8,5,3,16,10,30,16,35,123,8,1.0,0.1,2.65,0.28,10,91
0cda9,2019-05-12,18-24,4,3,4,12,2,22,22,23,92,8,1.0,0.1,2.54,0.25,5,63
0cda9,2019-05-13,00-06,0,1,9,12,0,9,4,6,41,6,0.75,0.53,2.34,0.29,1,23
0cda9,2019-05-13,06-12,4,27,13,16,18,46,27,40,191,8,1.0,0.35,2.77,0.24,17,140
0cda9,2019-05-13,12-18,0,3,0,22,4,20,16,25,90,6,0.75,0.05,2.3,0.28,2,65
0cda9,2019-05-13,18-24,4,4,6,2,0,20,12,18,66,7,0.88,0.2,2.44,0.3,7,55
0cda9,2019-05-14,00-06,0,0,12,6,0,4,4,6,32,5,0.62,0.86,2.19,0.37,1,14
0cda9,2019-05-14,06-12,6,27,13,20,17,52,26,36,197,8,1.0,0.35,2.79,0.26,22,146
0cda9,2019-05-14,12-18,2,16,5,20,21,48,22,33,167,8,1.0,0.2,2.66,0.29,13,121
0cda9,2019-05-14,18-24,2,5,7,12,0,18,21,17,82,7,0.88,0.21,2.54,0.26,7,61
0cda9,2019-05-15,00-06,0,1,8,10,0,11,7,7,44,6,0.75,0.36,2.4,0.25,2,31
0cda9,2019-05-15,06-12,2,20,10,30,18,38,25,29,172,8,1.0,0.33,2.77,0.22,17,123
0cda9,2019-05-15,12-18,0,6,0,12,4,28,13,25,88,6,0.75,0.09,2.31,0.32,11,58
0cda9,2019-05-15,18-24,4,4,6,8,2,28,13,19,84,8,1.0,0.17,2.57,0.33,8,62
0cda9,2019-05-16,00-06,0,1,9,4,0,10,5,8,37,6,0.75,0.43,2.36,0.27,4,26
0cda9,2019-05-16,06-12,2,20,10,26,16,39,20,31,164,8,1.0,0.33,2.76,0.24,15,107
0cda9,2019-05-16,12-18,4,4,0,22,6,36,34,26,132,7,0.88,0.04,2.42,0.27,14,94
0cda9,2019-05-16,18-24,2,3,7,2,0,14,9,13,50,7,0.88,0.28,2.48,0.28,5,40
0cda9,2019-05-17,00-06,0,0,3,6,0,5,5,8,27,5,0.62,0.17,2.26,0.3,1,16
0cda9,2019-05-17,06-12,6,25,17,32,18,40,37,27,202,8,1.0,0.4,2.86,0.2,14,147
0cda9,2019-05-17,12-18,2,4,4,32,16,35,27,29,149,8,1.0,0.09,2.58,0.23,20,107
0cda9,2019-05-17,18-24,2,2,5,10,2,18,15,19,73,8,1.0,0.13,2.56,0.26,12,56
0cda9,2019-05-18,00-06,0,0,9,8,0,7,4,4,32,5,0.62,0.6,2.24,0.28,1,17
