id,date,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
b45c2,2019-06-12,0.0,38.0,146.0,34.0,4.0,0.0,101.0,0.0
b45c2,2019-06-13,2.0,96.0,264.0,30.0,22.0,0.0,48.0,7.0
b45c2,2019-06-14,0.0,78.0,189.0,28.0,12.0,0.0,62.0,6.0
b45c2,2019-06-15,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0
b45c2,2019-06-17,0.0,55.0,120.0,2.0,6.0,0.0,3.0,1.0
b45c2,2019-06-18,2.0,109.0,168.0,52.0,14.0,0.0,85.0,1.0
b45c2,2019-06-19,0.0,77.0,191.0,32.0,14.0,89.0,58.0,1.0
b45c2,2019-06-20,0.0,48.0,148.0,32.0,12.0,72.0,103.0,1.0
b45c2,2019-06-21,0.0,56.0,165.0,48.0,8.0,81.0,87.0,1.0
b45c2,2019-06-22,0.0,86.0,148.0,40.0,6.0,100.0,89.0,0.0
b45c2,2019-06-23,2.0,79.0,195.0,20.0,6.0,103.0,63.0,3.0
b45c2,2019-06-24,0.0,80.0,180.0,32.0,12.0,86.0,70.0,0.0
b45c2,2019-06-25,2.0,62.0,202.0,20.0,18.0,84.0,39.0,1.0
b45c2,2019-06-26,2.0,64.0,208.0,24.0,24.0,91.0,44.0,13.0
b45c2,2019-06-27,0.0,54.0,166.0,27.0,13.0,67.0,57.0,0.0
b45c2,2019-06-28,2.0,42.0,203.0,34.0,20.0,93.0,94.0,6.0
b45c2,2019-06-29,2.0,61.0,174.0,32.0,12.0,78.0,104.0,4.0
b45c2,2019-06-30,0.0,43.0,198.0,30.0,4.0,47.0,64.0,1.0
