id,date,hour,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
b9d58,2019-04-12,19,0.0,0.0,0.0,6.0,0.0,2.0,4.0,1.0
b9d58,2019-04-12,21,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
b9d58,2019-04-12,22,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
b9d58,2019-04-13,6,0.0,2.0,2.0,4.0,4.0,3.0,5.0,0.0
b9d58,2019-04-13,19,0.0,1.0,1.0,6.0,6.0,8.0,4.0,1.0
b9d58,2019-04-13,21,0.0,0.0,0.0,10.0,0.0,3.0,2.0,2.0
b9d58,2019-04-14,7,0.0,0.0,0.0,8.0,0.0,8.0,10.0,3.0
b9d58,2019-04-14,8,0.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0
b9d58,2019-04-14,9,0.0,2.0,2.0,0.0,2.0,7.0,2.0,3.0
b9d58,2019-04-14,12,0.0,0.0,0.0,4.0,2.0,5.0,6.0,1.0
b9d58,2019-04-14,13,0.0,0.0,0.0,0.0,4.0,4.0,13.0,0.0
b9d58,2019-04-14,14,10.0,0.0,2.0,4.0,6.0,9.0,23.0,7.0
b9d58,2019-04-14,15,5.0,0.0,2.0,4.0,0.0,9.0,15.0,14.0
b9d58,2019-04-14,16,11.0,4.0,12.0,4.0,0.0,16.0,17.0,15.0
b9d58,2019-04-14,17,4.0,4.0,4.0,10.0,3.0,10.0,14.0,18.0
b9d58,2019-04-14,18,0.0,3.0,3.0,6.0,3.0,7.0,14.0,11.0
b9d58,2019-04-14,19,0.0,0.0,0.0,2.0,0.0,0.0,7.0,3.0
b9d58,2019-04-14,20,0.0,0.0,0.0,4.0,0.0,3.0,8.0,6.0
b9d58,2019-04-14,21,4.0,8.0,7.0,10.0,0.0,7.0,8.0,5.0
b9d58,2019-04-14,22,0.0,7.0,6.0,4.0,0.0,0.0,3.0,0.0
b9d58,2019-04-14,23,0.0,1.0,2.0,2.0,0.0,1.0,5.0,0.0
b9d58,2019-04-15,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-15,1,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-15,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-15,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-15,4,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-15,5,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-15,6,0.0,6.0,9.0,2.0,0.0,3.0,2.0,0.0
b9d58,2019-04-15,7,4.0,6.0,8.0,20.0,2.0,11.0,9.0,5.0
b9d58,2019-04-15,8,22.0,0.0,1.0,2.0,0.0,6.0,6.0,13.0
b9d58,2019-04-15,9,16.0,2.0,5.0,0.0,0.0,7.0,6.0,9.0
b9d58,2019-04-15,10,6.0,1.0,3.0,10.0,4.0,14.0,15.0,16.0
b9d58,2019-04-15,11,20.0,0.0,0.0,7.0,2.0,8.0,10.0,11.0
b9d58,2019-04-15,12,3.0,0.0,0.0,15.0,2.0,5.0,8.0,10.0
b9d58,2019-04-15,13,2.0,1.0,6.0,0.0,0.0,12.0,8.0,13.0
b9d58,2019-04-15,14,0.0,3.0,13.0,8.0,0.0,8.0,8.0,17.0
b9d58,2019-04-15,15,1.0,2.0,3.0,4.0,2.0,10.0,9.0,16.0
b9d58,2019-04-15,16,1.0,0.0,1.0,4.0,0.0,6.0,5.0,7.0
b9d58,2019-04-15,17,4.0,0.0,1.0,6.0,0.0,11.0,9.0,15.0
b9d58,2019-04-15,18,4.0,0.0,0.0,2.0,2.0,5.0,6.0,10.0
b9d58,2019-04-15,19,0.0,0.0,0.0,2.0,2.0,6.0,4.0,8.0
b9d58,2019-04-15,20,4.0,4.0,10.0,6.0,0.0,7.0,5.0,10.0
b9d58,2019-04-15,21,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-15,22,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0
b9d58,2019-04-15,23,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-16,0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-16,2,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-16,4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-16,5,0.0,3.0,4.0,4.0,0.0,4.0,2.0,0.0
b9d58,2019-04-16,6,0.0,7.0,17.0,6.0,0.0,3.0,3.0,2.0
b9d58,2019-04-16,7,0.0,7.0,8.0,16.0,2.0,9.0,15.0,5.0
b9d58,2019-04-16,8,0.0,0.0,0.0,0.0,6.0,6.0,3.0,9.0
b9d58,2019-04-16,9,0.0,1.0,5.0,0.0,10.0,11.0,6.0,15.0
b9d58,2019-04-16,10,10.0,0.0,0.0,4.0,0.0,5.0,4.0,13.0
b9d58,2019-04-16,11,0.0,4.0,4.0,0.0,6.0,7.0,5.0,14.0
b9d58,2019-04-16,13,10.0,0.0,0.0,8.0,4.0,4.0,4.0,3.0
b9d58,2019-04-16,14,9.0,3.0,3.0,6.0,4.0,10.0,11.0,12.0
b9d58,2019-04-16,15,5.0,0.0,0.0,6.0,2.0,6.0,3.0,6.0
b9d58,2019-04-16,16,6.0,2.0,14.0,6.0,2.0,5.0,2.0,6.0
b9d58,2019-04-16,17,0.0,2.0,5.0,12.0,4.0,16.0,15.0,10.0
b9d58,2019-04-16,18,11.0,0.0,0.0,10.0,0.0,8.0,3.0,18.0
b9d58,2019-04-16,19,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
b9d58,2019-04-16,20,6.0,0.0,1.0,2.0,6.0,10.0,6.0,9.0
b9d58,2019-04-16,21,0.0,13.0,16.0,2.0,2.0,2.0,1.0,0.0
b9d58,2019-04-16,22,0.0,2.0,8.0,4.0,0.0,3.0,3.0,0.0
b9d58,2019-04-16,23,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
b9d58,2019-04-17,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
b9d58,2019-04-17,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-17,2,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-17,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-17,4,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-17,5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
b9d58,2019-04-17,6,0.0,7.0,10.0,2.0,0.0,2.0,2.0,0.0
b9d58,2019-04-17,7,14.0,5.0,6.0,16.0,8.0,9.0,12.0,12.0
b9d58,2019-04-17,8,2.0,0.0,0.0,0.0,0.0,10.0,10.0,3.0
b9d58,2019-04-17,9,2.0,0.0,4.0,0.0,0.0,4.0,8.0,6.0
b9d58,2019-04-17,10,3.0,0.0,6.0,2.0,2.0,13.0,10.0,16.0
